1	d1_1	how to make a good cappuccino	To make a perfect cappuccino, you need equal parts of espresso, steamed milk, and milk foam. Start by pulling a double shot of espresso into your cup. Next, steam your milk to create a velvety microfoam. Pour the steamed milk over the espresso, then spoon the thick foam on top. Garnish with a sprinkle of cocoa powder if desired.
1	d1_2	how to make a good cappuccino	Making a cappuccino at home requires an espresso machine and a milk frother. You first brew a fresh espresso shot. Then, heat and froth the milk. Pour the frothed milk into the espresso. While it is similar to a latte, a cappuccino has much more distinct foam on top.
1	d1_3	how to make a good cappuccino	Cappuccino is an espresso-based coffee drink that originated in Italy. It is traditionally prepared with double espresso, hot milk, and steamed milk foam on top. Other variations include the use of cream instead of milk, and flavoring with cinnamon or cocoa powder.
1	d1_4	how to make a good cappuccino	Coffee beans are roasted to develop their flavor. There are different roast levels, including light roast, medium roast, and dark roast. Dark roast beans are shiny and oily, and have a bold, smokey flavor that is popular for espresso.
1	d1_5	how to make a good cappuccino	The history of tea dates back to ancient China, where it was initially used as a medicinal beverage. Over centuries, tea drinking spread to Japan, Europe, and eventually the rest of the world, becoming a staple of global culture.
1	d1_6	how to make a good cappuccino	Baking bread at home is a rewarding process. It requires flour, water, yeast, and salt. You mix the ingredients, knead the dough, let it rise, shape it, and bake it in a hot oven.
1	d1_7	how to make a good cappuccino	Different coffee drinks include espresso, macchiato, flat white, latte, and cappuccino. Each drink has a different ratio of espresso to milk and foam, catering to various taste preferences.
1	d1_8	how to make a good cappuccino	Green tea is made from unoxidized leaves and is one of the least processed types of tea. It contains a high concentration of antioxidants and has been shown to improve brain function and fat loss.
2	d2_1	why is the sky blue	The sky is blue due to a phenomenon called Rayleigh scattering. Sunlight reaches Earth's atmosphere and is scattered in all directions by all the gases and particles in the air. Blue light is scattered more than the other colors because it travels as shorter, smaller waves, making the sky appear blue to our eyes.
2	d2_2	why is the sky blue	Rayleigh scattering causes the sky to look blue. Because blue light has a short wavelength, it scatters much more than red, yellow, and green light when it collides with nitrogen and oxygen molecules in the Earth's atmosphere. This scattered light fills the sky.
2	d2_3	why is the sky blue	The sky has different colors depending on the time of day. During sunrise and sunset, the sky can appear red, orange, or pink because the sun is lower on the horizon and its light must pass through more of the atmosphere, scattering the blue light away.
2	d2_4	why is the sky blue	Clouds are made of water droplets or ice crystals suspended in the atmosphere. They form when water vapor condenses as it rises and cools. Clouds reflect all wavelengths of visible light equally, which is why they usually appear white.
